produceCode,collectionPointCode,quantity,ratePerUnit,grossAmount,qualityGrade,moisturePercent,hourOfDay,dayOfWeek,qtyDiffFromAvg,rateDiffFromMedian,priorAttentionCount,priorDeliveriesCount,hasNotes,neededAttention
TOM,CPN,2.82,12.95,36.52,B,,13,6,-0.79,-0.55,6,26,0,0
CTN,CPW,73.83,58.67,4331.61,C,,9,0,10.23,1.07,0,1,0,0
BNN,CPE,51.15,24.73,1264.94,A,,19,6,-14.94,-0.27,0,4,0,0
CTN,CPE,353.6,67.66,23924.58,B,,6,1,30.17,2.86,5,21,0,0
GNT,CPW,364.25,59.36,21621.88,B,,12,3,-81.08,-1.84,1,5,0,0
CTN,CPN,228.29,58.53,13361.81,C,,21,3,2.84,0.93,1,6,0,1
CTN,CPE,359.57,73.14,26298.95,A,,8,3,92.29,1.14,4,24,0,0
TOM,CPE,26.91,13.39,360.32,B,,13,3,-1.42,-0.11,2,13,0,0
TOM,CPW,19.48,11.91,232.01,C,,15,2,4.31,-0.09,3,17,0,0
MLK,CPW,55.31,30.5,1686.96,B,,10,5,-0.49,-1.0,1,9,0,0
CTN,CPE,154.22,57.02,8793.62,C,,8,4,-35.51,-0.58,1,10,0,0
BNN,CPW,82.68,22.39,1851.21,B,,13,2,-5.24,-0.11,1,8,0,0
PDY,CPE,393.36,17.47,6872.0,C,11.6,7,5,-102.4,-0.53,0,3,0,1
CTN,CPW,226.36,73.34,16601.24,A,,19,1,-59.73,1.34,0,7,0,0
BNN,CPE,309.22,19.89,6150.39,C,,10,6,-13.1,-0.11,4,14,0,0
CTN,CPE,112.74,73.14,8245.8,A,,10,4,26.44,1.14,0,7,0,0
TOM,CPW,14.2,12.31,174.8,C,,14,6,1.14,0.31,2,19,0,0
TOM,CPE,8.26,15.07,124.48,A,,8,3,0.52,0.07,2,13,0,0
TOM,CPN,1.15,11.63,13.37,C,,12,6,0.28,-0.37,1,7,0,0
BNN,CPW,244.67,24.06,5886.76,A,,17,1,46.21,-0.94,4,16,1,1
CTN,CPE,292.26,75.25,21992.56,A,,12,5,-59.6,3.25,1,8,1,1
BNN,CPW,386.0,20.34,7851.24,C,,14,1,61.32,0.34,0,7,1,1
CTN,CPE,119.01,55.91,6653.85,C,,16,1,-12.56,-1.69,2,10,0,0
PDY,CPE,446.24,17.33,7733.34,C,11.5,15,5,82.5,-0.67,1,2,0,1
PDY,CPN,243.2,21.53,5236.1,A,21.2,16,4,65.32,-0.97,1,11,0,1
MZE,CPW,220.04,16.06,3533.84,C,17.9,9,4,-33.82,-0.74,0,3,0,0
TOM,CPN,3.14,13.36,41.95,B,,13,5,0.7,-0.14,4,20,0,0
GNT,CPE,70.59,59.53,4202.22,B,,18,1,-13.78,-1.67,1,10,0,0
GNT,CPN,415.34,61.18,25410.5,B,,11,3,38.35,-0.02,2,10,1,0
PDY,CPE,154.9,20.47,3170.8,B,11.9,21,5,2.02,0.22,1,17,0,1
BNN,CPE,237.64,19.88,4724.28,C,,17,6,-70.56,-0.12,0,4,0,0
PDY,CPN,93.39,17.23,1609.11,C,21.0,19,2,15.19,-0.77,3,16,0,1
BNN,CPW,331.46,20.58,6821.45,C,,20,5,-57.74,0.58,0,5,0,1
PLS,CPN,112.54,80.85,9098.86,A,,7,4,3.08,-4.15,3,19,0,0
GNT,CPW,159.61,62.65,9999.57,B,,13,2,3.69,1.45,3,9,0,0
MZE,CPW,283.99,20.09,5705.36,A,17.3,8,4,72.91,-0.91,1,3,0,1
BNN,CPE,218.64,23.61,5162.09,B,,9,6,-37.06,1.11,2,4,0,0
MLK,CPW,3.94,28.32,111.58,C,,19,0,-0.24,0.32,2,4,0,0
PLS,CPW,38.81,65.35,2536.23,C,,7,6,-8.83,-2.65,1,8,0,0
BNN,CPE,218.03,23.27,5073.56,B,,13,5,-29.56,0.77,0,6,0,0
MZE,CPN,197.77,21.54,4259.97,A,20.4,8,6,-36.99,0.54,2,11,0,0
TOM,CPN,9.57,13.24,126.71,B,,10,5,2.67,-0.26,1,4,0,0
GNT,CPE,311.7,69.74,21737.96,A,,20,6,52.89,1.74,3,11,0,1
CTN,CPN,32.5,69.6,2262.0,A,,17,0,7.72,-2.4,1,2,0,0
PLS,CPW,277.73,77.28,21462.97,B,,17,3,48.35,0.78,7,20,0,0
BNN,CPW,336.27,19.47,6547.18,C,,20,3,-99.09,-0.53,1,7,0,0
GNT,CPE,263.19,71.26,18754.92,A,,8,4,43.34,3.26,4,18,0,0
TOM,CPE,5.9,14.97,88.32,A,,11,1,-0.81,-0.03,3,25,0,0
TOM,CPE,21.47,11.97,257.0,C,,10,5,2.99,-0.03,3,14,0,0
MZE,CPW,261.66,18.61,4869.49,B,14.4,16,6,48.48,-0.29,2,11,0,0
BNN,CPE,69.06,24.13,1666.42,A,,9,6,-9.23,-0.87,4,15,0,0
PDY,CPW,117.24,20.95,2456.18,B,16.0,10,1,-20.68,0.7,3,8,0,0
BNN,CPW,346.12,20.51,7098.92,C,,20,4,-61.96,0.51,1,7,0,1
MZE,CPW,353.51,17.58,6214.71,C,12.9,15,3,22.07,0.78,3,14,1,1
TOM,CPW,4.05,13.98,56.62,B,,8,2,0.18,0.48,4,14,0,1
PDY,CPN,32.63,23.23,757.99,A,12.9,19,4,8.08,0.73,0,13,0,0
GNT,CPE,213.65,55.75,11910.99,C,,14,6,41.68,1.35,0,6,1,0
MLK,CPN,19.77,28.04,554.35,C,,11,6,-1.96,0.04,5,24,0,0
MZE,CPN,92.7,16.61,1539.75,C,15.3,19,3,20.72,-0.19,2,4,0,0
MZE,CPW,366.11,15.99,5854.1,C,23.5,20,0,43.66,-0.81,1,8,0,1
MZE,CPW,277.49,18.08,5017.02,B,22.3,7,0,46.58,-0.82,0,8,0,1
PDY,CPE,307.76,23.24,7152.34,A,22.3,6,4,60.83,0.74,0,4,1,1
MZE,CPN,76.63,16.35,1252.9,C,21.0,8,5,-4.79,-0.45,0,4,1,1
PDY,CPE,227.28,21.82,4959.25,A,18.6,18,3,63.18,-0.68,0,2,0,1
BNN,CPE,113.96,24.74,2819.37,A,,11,5,-5.11,-0.26,5,20,0,0
CTN,CPN,76.54,56.3,4309.2,C,,6,3,-15.14,-1.3,2,9,0,0
GNT,CPW,364.15,62.2,22650.13,B,,10,2,19.08,1.0,3,16,0,0
MZE,CPN,24.36,21.29,518.62,A,22.8,14,6,6.34,0.29,7,30,0,1
PDY,CPE,248.97,20.15,5016.75,B,11.2,20,1,14.36,-0.1,1,4,0,1
CTN,CPW,211.96,66.73,14144.09,B,,8,2,8.84,1.93,0,8,0,0
PDY,CPN,30.94,18.26,564.96,C,18.9,16,6,5.24,0.26,1,12,1,1
BNN,CPW,118.25,26.19,3096.97,A,,8,2,26.25,1.19,1,6,0,0
TOM,CPE,18.54,12.12,224.7,C,,17,0,-0.6,0.12,0,9,0,0
MZE,CPN,173.16,17.35,3004.33,C,19.9,15,0,-4.66,0.55,4,15,0,1
BNN,CPN,289.28,24.97,7223.32,A,,8,4,4.24,-0.03,0,13,0,0
PLS,CPN,277.62,83.75,23250.67,A,,20,3,-30.11,-1.25,1,28,0,1
CTN,CPE,218.95,60.37,13218.01,C,,17,3,14.91,2.77,2,10,0,0
GNT,CPE,404.61,54.16,21913.68,C,,17,2,-120.44,-0.24,2,18,0,1
PDY,CPE,404.03,21.52,8694.73,A,22.4,16,4,88.62,-0.98,5,30,0,1
GNT,CPE,110.6,56.89,6292.03,C,,20,2,-22.17,2.49,2,10,0,1
PLS,CPE,349.43,87.94,30728.87,A,,7,6,31.7,2.94,0,10,0,0
BNN,CPW,430.7,25.06,10793.34,A,,21,1,69.16,0.06,0,5,0,0
CTN,CPW,409.63,56.57,23172.77,C,,10,6,92.68,-1.03,3,16,1,1
GNT,CPW,124.03,62.51,7753.12,B,,9,4,-9.64,1.31,0,6,0,0
MLK,CPE,5.14,28.79,147.98,C,,7,5,0.71,0.79,0,4,0,0
TOM,CPW,23.92,11.91,284.89,C,,11,3,-6.17,-0.09,1,7,0,0
MLK,CPN,20.73,35.58,737.57,A,,6,3,-6.21,0.58,2,10,0,1
MLK,CPE,11.18,27.18,303.87,C,,19,2,-0.72,-0.82,2,9,0,0
MLK,CPW,7.69,28.41,218.47,C,,10,3,1.07,0.41,0,3,0,1
BNN,CPW,28.31,21.65,612.91,B,,15,2,8.32,-0.85,2,13,0,0
TOM,CPW,12.49,13.44,167.87,B,,21,6,2.07,-0.06,2,7,0,1
PLS,CPN,297.98,89.03,26529.16,A,,20,2,4.68,4.03,2,9,0,0
PDY,CPN,248.22,22.84,5669.34,A,19.0,21,3,65.44,0.34,2,13,0,1
GNT,CPE,212.5,65.51,13920.88,A,,7,5,54.03,-2.49,2,11,0,0
GNT,CPW,97.53,60.95,5944.45,B,,8,5,-1.59,-0.25,5,12,0,0
PDY,CPN,441.89,18.13,8011.47,C,13.6,14,1,82.16,0.13,4,10,0,0
GNT,CPE,189.94,56.86,10799.99,C,,7,6,-32.06,2.46,2,15,1,0
TOM,CPE,1.07,14.79,15.83,A,,21,3,-0.1,-0.21,1,7,0,1
PLS,CPN,430.58,67.96,29262.22,C,,14,4,57.99,-0.04,2,12,0,0
BNN,CPE,198.71,20.69,4111.31,C,,6,1,-7.55,0.69,2,9,0,1
MZE,CPN,171.81,21.83,3750.61,A,23.3,13,4,32.35,0.83,3,20,0,0
TOM,CPW,4.62,14.69,67.87,A,,8,4,-1.19,-0.31,1,9,0,0
PDY,CPE,199.12,22.55,4490.16,A,10.8,15,6,-16.8,0.05,2,12,0,0
GNT,CPW,159.88,62.5,9992.5,B,,16,2,-46.51,1.3,2,9,0,0
BNN,CPE,198.22,20.51,4065.49,C,,21,2,-53.43,0.51,1,13,0,1
BNN,CPW,240.96,25.02,6028.82,A,,9,0,23.77,0.02,1,10,1,0
TOM,CPN,24.51,14.99,367.4,A,,8,1,7.19,-0.01,3,12,0,0
BNN,CPN,235.47,20.41,4805.94,C,,6,0,-0.21,0.41,3,12,0,1
MLK,CPN,28.83,32.78,945.05,B,,7,3,1.16,1.28,1,8,0,0
GNT,CPW,184.02,57.02,10492.82,C,,9,5,-11.16,2.62,2,7,1,0
PDY,CPE,213.55,21.22,4531.53,B,11.4,15,4,54.58,0.97,2,12,0,0
MZE,CPW,316.6,18.23,5771.62,B,18.3,16,4,7.97,-0.67,1,6,0,1
BNN,CPW,434.96,21.94,9543.02,B,,15,0,-116.59,-0.56,3,13,0,0
MLK,CPN,43.97,29.95,1316.9,B,,13,5,3.02,-1.55,3,19,1,0
GNT,CPE,285.42,69.63,19873.79,A,,11,5,-19.4,1.63,1,5,0,0
TOM,CPE,2.78,12.45,34.61,C,,21,3,0.42,0.45,0,8,0,1
MZE,CPW,276.75,19.08,5280.39,B,15.2,12,1,-68.95,0.18,3,11,1,0
GNT,CPE,126.8,62.46,7919.93,B,,15,3,-0.01,1.26,1,11,0,0
BNN,CPW,44.16,19.98,882.32,C,,9,3,9.0,-0.02,1,14,0,0
BNN,CPW,329.84,20.65,6811.2,C,,8,2,-64.94,0.65,2,6,0,0
BNN,CPW,180.61,21.99,3971.61,B,,21,0,-31.91,-0.51,3,19,1,1
CTN,CPE,282.54,55.64,15720.53,C,,10,6,-39.4,-1.96,1,4,0,0
PDY,CPW,198.11,23.02,4560.49,A,22.3,15,1,30.46,0.52,1,14,0,1
CTN,CPN,198.34,73.83,14643.44,A,,6,2,20.52,1.83,2,22,0,1
BNN,CPN,319.55,24.99,7985.55,A,,18,4,-52.34,-0.01,2,8,1,1
MZE,CPE,223.93,16.9,3784.42,C,18.8,21,1,-46.13,0.1,3,11,0,1
PDY,CPN,239.54,20.9,5006.39,B,15.7,20,2,45.74,0.65,1,7,0,0
TOM,CPE,1.62,14.81,23.99,A,,18,5,-0.2,-0.19,2,9,0,0
CTN,CPE,22.28,74.19,1652.95,A,,18,6,-2.37,2.19,1,12,0,1
MZE,CPE,93.05,16.29,1515.78,C,22.5,18,1,15.92,-0.51,1,11,0,0
TOM,CPN,7.53,12.1,91.11,C,,7,3,-1.47,0.1,1,5,0,0
MZE,CPN,47.15,19.42,915.65,B,21.5,21,6,6.68,0.52,1,10,0,1
MLK,CPE,18.49,30.94,572.08,B,,13,5,-3.61,-0.56,6,13,0,0
CTN,CPE,60.81,68.03,4136.9,B,,16,4,-10.35,3.23,1,10,0,0
PLS,CPE,26.77,64.72,1732.55,C,,13,1,7.95,-3.28,2,12,1,1
MZE,CPE,294.48,21.49,6328.38,A,19.5,18,2,-23.51,0.49,3,20,0,1
GNT,CPW,218.3,70.99,15497.12,A,,19,2,51.07,2.99,6,29,1,1
MZE,CPN,298.91,20.53,6136.62,A,12.2,21,6,-19.67,-0.47,1,4,0,0
CTN,CPW,250.45,64.73,16211.63,B,,19,4,-12.5,-0.07,4,14,0,0
CTN,CPE,56.36,65.49,3691.02,B,,9,6,-10.23,0.69,1,9,1,0
MLK,CPN,16.47,29.23,481.42,C,,10,5,-1.67,1.23,2,14,1,1
GNT,CPW,110.64,52.93,5856.18,C,,9,1,9.6,-1.47,1,10,0,0
BNN,CPW,406.24,23.12,9392.27,B,,11,6,79.4,0.62,0,9,1,0
GNT,CPE,44.5,53.96,2401.22,C,,14,5,-13.07,-0.44,3,12,1,1
GNT,CPE,231.8,67.89,15736.9,A,,8,3,6.4,-0.11,3,27,0,0
BNN,CPE,371.68,25.03,9303.15,A,,18,0,-79.1,0.03,1,21,0,0
MZE,CPE,375.06,18.49,6934.86,B,23.0,13,6,29.84,-0.41,2,7,0,1
MLK,CPE,8.18,29.37,240.25,C,,20,0,-0.49,1.37,2,12,0,1
PDY,CPW,258.37,21.82,5637.63,A,14.1,13,1,-31.39,-0.68,1,5,0,0
MLK,CPE,117.85,32.35,3812.45,B,,18,5,4.37,0.85,1,8,0,0
MZE,CPN,112.67,18.59,2094.54,B,16.5,18,5,30.05,-0.31,1,15,0,0
PDY,CPW,388.29,23.25,9027.74,A,23.0,11,1,48.34,0.75,1,11,0,1
PLS,CPN,134.16,68.76,9224.84,C,,8,5,17.86,0.76,2,10,0,0
TOM,CPE,4.37,13.95,60.96,B,,20,3,0.14,0.45,2,4,0,1
CTN,CPW,409.05,65.76,26899.13,B,,13,1,35.15,0.96,2,7,0,0
PLS,CPN,209.22,86.95,18191.68,A,,8,1,-22.87,1.95,0,12,1,0
PDY,CPE,187.75,22.17,4162.42,A,10.6,17,6,-2.61,-0.33,3,13,0,0
GNT,CPE,55.58,66.33,3686.62,A,,21,4,15.61,-1.67,3,12,0,1
GNT,CPN,42.69,55.44,2366.73,C,,12,5,0.46,1.04,2,12,0,0
MLK,CPE,28.03,27.68,775.87,C,,6,6,7.86,-0.32,3,20,0,1
CTN,CPN,437.59,65.2,28530.87,B,,19,5,64.24,0.4,1,11,0,0
BNN,CPW,251.25,22.0,5527.5,B,,20,6,-2.76,-0.5,2,19,0,1
PLS,CPN,132.81,66.73,8862.41,C,,7,6,28.17,-1.27,2,8,0,0
GNT,CPE,66.27,62.84,4164.41,B,,11,1,18.32,1.64,1,9,0,1
PDY,CPN,333.2,22.15,7380.38,A,19.4,11,2,-98.03,-0.35,2,17,0,1
MLK,CPW,10.46,34.32,358.99,A,,14,6,0.36,-0.68,2,13,0,0
CTN,CPW,63.11,61.67,3891.99,B,,19,2,-12.68,-3.13,0,1,1,0
PLS,CPW,200.44,81.18,16271.72,A,,16,0,-7.95,-3.82,1,4,0,0
MLK,CPW,2.78,27.79,77.26,C,,19,2,-0.72,-0.21,3,13,0,0
BNN,CPN,55.92,24.28,1357.74,A,,15,6,11.36,-0.72,1,9,0,0
MZE,CPN,84.18,20.51,1726.53,A,15.1,11,1,-19.99,-0.49,2,5,0,0
MZE,CPW,396.3,19.45,7708.03,B,12.0,21,3,35.24,0.55,1,13,0,1
MLK,CPN,11.46,28.33,324.66,C,,9,1,2.05,0.33,5,22,1,0
MLK,CPE,2.24,28.89,64.71,C,,20,0,-0.13,0.89,1,7,0,1
TOM,CPW,4.8,13.02,62.5,B,,21,4,-1.43,-0.48,0,8,0,1
TOM,CPE,1.11,12.94,14.36,B,,7,3,-0.2,-0.56,4,24,0,0
BNN,CPE,235.12,19.14,4500.2,C,,19,4,50.32,-0.86,1,9,0,0
CTN,CPN,407.11,74.1,30166.85,A,,6,4,-22.83,2.1,2,9,0,0
PLS,CPE,380.02,81.83,31097.04,A,,19,6,-52.2,-3.17,2,13,0,0
PDY,CPE,158.77,18.1,2873.74,C,12.1,19,6,34.48,0.1,2,15,0,0
CTN,CPN,57.69,68.87,3973.11,A,,9,5,0.38,-3.13,1,10,1,0
PDY,CPN,306.65,17.32,5311.18,C,18.0,9,0,37.15,-0.68,1,10,0,0
PLS,CPN,439.45,67.82,29803.5,C,,12,5,-26.0,-0.18,2,19,0,1
MZE,CPN,404.26,18.1,7317.11,B,22.7,9,0,-102.87,-0.8,5,25,1,1
TOM,CPW,22.35,12.21,272.89,C,,15,2,-1.07,0.21,2,16,0,0
BNN,CPN,237.55,24.15,5736.83,A,,19,3,-62.79,-0.85,2,6,0,0
PDY,CPW,132.86,20.3,2697.06,B,11.6,16,3,-15.8,0.05,0,2,0,1
GNT,CPE,268.1,66.95,17949.3,A,,8,3,-70.71,-1.05,0,6,0,0
TOM,CPW,4.03,13.89,55.98,B,,17,5,0.43,0.39,2,9,1,1
TOM,CPW,6.81,12.1,82.4,C,,10,5,-0.59,0.1,1,6,0,0
MZE,CPN,217.51,17.22,3745.52,C,22.7,17,2,-0.46,0.42,2,24,0,1
MLK,CPW,25.02,31.81,795.89,B,,12,2,4.73,0.31,1,8,0,0
GNT,CPE,117.51,55.31,6499.48,C,,20,6,7.99,0.91,1,10,0,1
BNN,CPE,399.93,19.54,7814.63,C,,15,3,11.62,-0.46,2,13,1,1
CTN,CPW,91.41,68.83,6291.75,A,,11,6,18.11,-3.17,1,5,0,0
PLS,CPN,198.64,80.95,16079.91,A,,6,3,48.04,-4.05,1,9,0,0
GNT,CPW,68.32,53.49,3654.44,C,,17,6,7.18,-0.91,4,15,0,0
BNN,CPE,196.16,26.2,5139.39,A,,12,5,50.85,1.2,2,16,0,0
MZE,CPW,198.8,16.88,3355.74,C,15.6,12,3,-20.18,0.08,1,9,0,0
CTN,CPE,170.44,56.12,9565.09,C,,10,0,17.33,-1.48,1,4,0,0
BNN,CPW,229.92,24.08,5536.47,A,,10,5,29.57,-0.92,0,3,0,1
CTN,CPW,95.0,57.44,5456.8,C,,13,2,27.21,-0.16,1,16,1,0
GNT,CPE,367.61,55.01,20222.23,C,,11,2,-64.12,0.61,2,23,0,0
BNN,CPW,203.39,25.29,5143.73,A,,21,2,-20.61,0.29,0,2,0,0
PLS,CPN,259.68,69.41,18024.39,C,,10,3,28.09,1.41,1,8,0,0
MZE,CPN,79.39,21.75,1726.73,A,17.0,17,4,-22.7,0.75,1,13,0,0
CTN,CPW,401.1,55.59,22297.15,C,,20,1,44.94,-2.01,0,7,0,1
TOM,CPN,2.77,13.88,38.45,B,,13,0,0.2,0.38,7,24,0,0
MLK,CPW,6.29,27.49,172.91,C,,9,2,-1.14,-0.51,1,12,1,0
BNN,CPW,343.28,20.62,7078.43,C,,9,5,91.94,0.62,1,14,0,0
CTN,CPN,92.36,59.54,5499.11,C,,10,0,2.17,1.94,3,19,0,0
TOM,CPN,5.12,13.46,68.92,B,,21,4,-0.4,-0.04,1,5,1,0
BNN,CPW,115.25,23.89,2753.32,A,,20,3,30.21,-1.11,0,4,0,1
BNN,CPW,276.01,24.79,6842.29,A,,10,4,13.46,-0.21,1,12,0,1
TOM,CPW,11.85,13.05,154.64,B,,11,2,1.07,-0.45,2,13,0,0
TOM,CPW,12.07,15.63,188.65,A,,19,1,-0.06,0.63,2,9,1,1
GNT,CPW,36.21,63.09,2284.49,B,,7,1,9.37,1.89,3,11,1,1
PLS,CPN,100.46,68.38,6869.45,C,,12,3,26.51,0.38,2,3,0,0
CTN,CPN,383.06,74.99,28725.67,A,,8,6,58.16,2.99,2,5,1,0
PLS,CPW,379.66,85.02,32278.69,A,,6,0,69.64,0.02,2,11,0,0
CTN,CPE,86.98,72.34,6292.13,A,,11,2,-23.78,0.34,3,27,1,1
BNN,CPN,427.55,19.28,8243.16,C,,12,1,-112.38,-0.72,1,21,1,1
GNT,CPN,372.74,54.74,20403.79,C,,9,5,-31.94,0.34,0,6,0,0
MLK,CPW,20.71,27.14,562.07,C,,16,1,-0.94,-0.86,0,2,1,1
BNN,CPW,54.65,24.12,1318.16,A,,13,0,11.09,-0.88,2,4,1,0
BNN,CPW,141.42,19.16,2709.61,C,,6,1,-7.05,-0.84,0,3,0,1
BNN,CPN,219.97,19.45,4278.42,C,,8,1,7.28,-0.55,5,16,0,0
